epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,293.96,0.96288,1.31743,0.9877,0.66563,0.33333,0.75178,0.54524,1.46353,2.91351,1.20032,0.000247563,0.000247563,0.000247563
63,298.573,0.9908,1.36283,1.02581,0.66563,0.33333,0.75178,0.54524,1.46353,2.91351,1.20032,0.000241375,0.000241375,0.000241375
64,303.179,0.80921,1.32984,0.99526,0.65512,0.33333,0.75178,0.5342,1.47081,2.92061,1.21795,0.000235188,0.000235188,0.000235188
65,307.742,0.84563,1.23233,1.04214,0.65512,0.33333,0.75178,0.5342,1.47081,2.92061,1.21795,0.000229,0.000229,0.000229
66,312.331,0.86527,1.2021,0.99128,0.72328,0.33333,0.7246,0.50545,1.46217,2.87809,1.2278,0.000222813,0.000222813,0.000222813
67,316.915,0.85015,1.46727,1.04108,0.72328,0.33333,0.7246,0.50545,1.46217,2.87809,1.2278,0.000216625,0.000216625,0.000216625
68,321.541,0.84181,1.24541,0.98848,0.73669,0.33333,0.72467,0.50698,1.46599,2.8704,1.2396,0.000210437,0.000210437,0.000210437
69,326.171,0.91902,1.13357,0.96147,0.73669,0.33333,0.72467,0.50698,1.46599,2.8704,1.2396,0.00020425,0.00020425,0.00020425
70,330.792,0.69082,1.36949,0.97764,0.74913,0.33333,0.7325,0.51426,1.44682,2.86726,1.23249,0.000198063,0.000198063,0.000198063
71,335.35,0.85916,1.28309,0.99327,0.74913,0.33333,0.7325,0.51426,1.44682,2.86726,1.23249,0.000191875,0.000191875,0.000191875
72,340.005,0.91696,1.23281,1.00016,0.48777,0.33333,0.74625,0.53885,1.44882,2.83208,1.23368,0.000185688,0.000185688,0.000185688
73,344.554,0.8883,1.30096,1.05623,0.48777,0.33333,0.74625,0.53885,1.44882,2.83208,1.23368,0.0001795,0.0001795,0.0001795
74,349.161,0.91028,1.18462,1.0351,0.49547,0.33333,0.76599,0.55301,1.50807,2.80575,1.27141,0.000173313,0.000173313,0.000173313
75,353.897,0.88803,1.1888,1.01689,0.49547,0.33333,0.76599,0.55301,1.50807,2.80575,1.27141,0.000167125,0.000167125,0.000167125
76,358.517,0.79258,1.07526,1.01346,0.50389,0.33333,0.73849,0.51367,1.54838,2.81585,1.30147,0.000160938,0.000160938,0.000160938
77,363.095,0.88798,1.14038,0.99405,0.50389,0.33333,0.73849,0.51367,1.54838,2.81585,1.30147,0.00015475,0.00015475,0.00015475
78,367.762,0.7869,1.34956,1.01514,0.55952,0.41667,0.7286,0.50308,1.56007,2.80043,1.31189,0.000148563,0.000148563,0.000148563
79,372.474,0.88799,1.08433,0.9926,0.55952,0.41667,0.7286,0.50308,1.56007,2.80043,1.31189,0.000142375,0.000142375,0.000142375
80,377.189,0.80004,1.09109,0.99419,0.54567,0.41667,0.71638,0.49705,1.53726,2.79319,1.29163,0.000136187,0.000136187,0.000136187
81,381.892,0.82074,1.36178,0.98901,0.54567,0.41667,0.71638,0.49705,1.53726,2.79319,1.29163,0.00013,0.00013,0.00013
82,386.93,0.83278,1.15451,0.99564,0.53418,0.41667,0.71638,0.51695,1.49379,2.74614,1.25452,0.000123812,0.000123812,0.000123812
83,391.745,0.77036,1.2135,0.96514,0.53418,0.41667,0.71638,0.51695,1.49379,2.74614,1.25452,0.000117625,0.000117625,0.000117625
84,396.563,0.8771,1.40421,1.08466,0.51378,0.58333,0.73013,0.53904,1.45937,2.69606,1.22899,0.000111438,0.000111438,0.000111438
85,401.339,1.01272,1.29612,1.18498,0.51378,0.58333,0.73013,0.53904,1.45937,2.69606,1.22899,0.00010525,0.00010525,0.00010525
86,406.162,0.69653,1.14213,0.95516,0.50072,0.65406,0.7246,0.52743,1.43818,2.66714,1.21225,9.90625e-05,9.90625e-05,9.90625e-05
87,411.009,0.79283,1.1604,0.96562,0.50072,0.65406,0.7246,0.52743,1.43818,2.66714,1.21225,9.2875e-05,9.2875e-05,9.2875e-05
88,415.815,0.80841,1.10356,1.03318,0.44991,0.63889,0.7118,0.52821,1.41911,2.62524,1.18745,8.66875e-05,8.66875e-05,8.66875e-05
89,420.576,0.80068,1.12239,0.96072,0.44991,0.63889,0.7118,0.52821,1.41911,2.62524,1.18745,8.05e-05,8.05e-05,8.05e-05
90,425.395,0.73374,1.04564,0.92998,0.44191,0.63889,0.71573,0.51549,1.39934,2.58789,1.17369,7.43125e-05,7.43125e-05,7.43125e-05
91,430.232,0.73883,1.14022,1.01265,0.44191,0.63889,0.71573,0.51549,1.39934,2.58789,1.17369,6.8125e-05,6.8125e-05,6.8125e-05
92,434.997,0.73461,1.10366,0.96352,0.41987,0.63889,0.72952,0.52845,1.39017,2.54308,1.17705,6.19375e-05,6.19375e-05,6.19375e-05
93,439.65,0.76826,1.17508,0.98465,0.41987,0.63889,0.72952,0.52845,1.39017,2.54308,1.17705,5.575e-05,5.575e-05,5.575e-05
94,444.396,0.76384,1.56943,1.09014,0.4146,0.63889,0.74334,0.53674,1.3969,2.5087,1.18577,4.95625e-05,4.95625e-05,4.95625e-05
95,449.145,0.7029,1.2903,0.94671,0.4146,0.63889,0.74334,0.53674,1.3969,2.5087,1.18577,4.3375e-05,4.3375e-05,4.3375e-05
96,453.915,0.7949,1.11396,1.02087,0.49129,0.79801,0.77098,0.56991,1.39606,2.49917,1.19406,3.71875e-05,3.71875e-05,3.71875e-05
97,458.626,0.71413,0.99769,0.92601,0.49129,0.79801,0.77098,0.56991,1.39606,2.49917,1.19406,3.1e-05,3.1e-05,3.1e-05
98,463.363,0.79123,1.14697,0.92639,0.54879,0.83764,0.78931,0.57286,1.40105,2.50086,1.20045,2.48125e-05,2.48125e-05,2.48125e-05
99,468.047,0.68218,1.18762,0.99663,0.54879,0.83764,0.78931,0.57286,1.40105,2.50086,1.20045,1.8625e-05,1.8625e-05,1.8625e-05
100,472.802,0.78173,1.11497,1.01414,0.54397,0.83956,0.78931,0.57161,1.42164,2.48619,1.22006,1.24375e-05,1.24375e-05,1.24375e-05
